"﻿""Zupid""",sku,ProductName,ProductPrice,CurrencySymbolOfPrice,ValidFromDate,ProductShortDescription,MerchantProductCategory,ZanoxCategoryIds,ImageSmallURL,ImageMediumURL,ProductManufacturerBrand,ZanoxProductLink,DeliveryTime,TermsOfContract,ISBN,ShippingAndHandling,ShippingAndHandlingCost
4381d99f3ef6685e9e4851de5b3e66b6,0106408075B7000,Château Le Boscq Cru Bourgeois,18.90,EUR,moevenpick,"Sattes, dichtes Purpur mit scharlachroten Reflexen. Bombiges, verführerisches Bouquet, Maulbeeren und Kokosnoten, dezent dropsig im Ansatz. Im Gaumen veloursartiger Körper, weiches Extrakt, wieder eine wahre Fruchtbombe bei toller Konzentration.",Rotweine,,http://www.moevenpick-wein.de/images/1064_k.jpg,http://www.moevenpick-wein.de/images/1064.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0106408075B7000]],,,moevenpick,,
2847c71596a48ad222cea2d7497d1625,0108306075B7100,Château Paloumey Cru Bourgeois,16.50,EUR,moevenpick,"Recht dunkles Purpur-Granat. Intensives Bouquet, Holundernote, rotes Johannisbeergelée, delikate Röstnoten, wirkt erstaunlich zugänglich. Angenehm fülliger, ja opulenter Gaumen, generöser Fluss, dabei mit festem Körper und angespannten Muskeln, besitzt eine gewisse Kernigkeit sowie ein interessantes Entwicklungspotenzial. Dürfte noch gut fünf Jahre bis zur ersten Reife benötigen.",Rotweine,,http://www.moevenpick-wein.de/images/1083_k.jpg,http://www.moevenpick-wein.de/images/1083.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0108306075B7100]],,,moevenpick,,
645e01a72fac11bb08a207589bfedcc9,0108307075B7100,Château Paloumey Cru Bourgeois,14.50,EUR,moevenpick,"Das ist kein Wein, den man endlos auf die Seite legt, sondern einer, der von Beginn weg einen ganz grossen Bordeaux-Spass bereitet. Delikates, rotes Pflaumenbouquet wunderschöne Süsse. Cremiger Gaumen mit sehr viel Souplesse, Waldbeeren, Milchkaffee, die Tannine sind reif und präsentieren eine schöne Fülle.",Rotweine,,http://www.moevenpick-wein.de/images/1083_k.jpg,http://www.moevenpick-wein.de/images/1083.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0108307075B7100]],,,moevenpick,,
95d21fd37141ff13889937203f0cd85d,0108307150B6000,Château Paloumey Cru Bourgeois,31.00,EUR,moevenpick,"Das ist kein Wein, den man endlos auf die Seite legt, sondern einer, der von Beginn weg einen ganz grossen Bordeaux-Spass bereitet. Delikates, rotes Pflaumenbouquet wunderschöne Süsse. Cremiger Gaumen mit sehr viel Souplesse, Waldbeeren, Milchkaffee, die Tannine sind reif und präsentieren eine schöne Fülle.",Rotweine,,http://www.moevenpick-wein.de/images/1083_k.jpg,http://www.moevenpick-wein.de/images/1083.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0108307150B6000]],,,moevenpick,,
9a765b0b4662e08a8fe6a8cf1139d1ac,0108307300B1000,Château Paloumey Cru Bourgeois,63.00,EUR,moevenpick,"Das ist kein Wein, den man endlos auf die Seite legt, sondern einer, der von Beginn weg einen ganz grossen Bordeaux-Spass bereitet. Delikates, rotes Pflaumenbouquet wunderschöne Süsse. Cremiger Gaumen mit sehr viel Souplesse, Waldbeeren, Milchkaffee, die Tannine sind reif und präsentieren eine schöne Fülle.",Rotweine,,http://www.moevenpick-wein.de/images/1083_k.jpg,http://www.moevenpick-wein.de/images/1083.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0108307300B1000]],,,moevenpick,,
883d5a9f4b0700571fb3ac29000c1959,0109509075C6100,Cabernet Sauvignon Estate Valle Central,10.50,EUR,moevenpick,"Kräftiges Rubinrot. Viel schwarzbeerige Frucht in der charmanten Nase, Brombeeren und schwarze Johannisbeeren, auch etwas Honigmelasse. Kräftige Cabernet-Aromatik, angenehm fliessend und bestens strukturiert, schwarze Schokolade und etwas Tabak offenbaren sich, vanilleartiges, ausgedehntes Finale.",Rotweine,,http://www.moevenpick-wein.de/images/1095_new_k.jpg,http://www.moevenpick-wein.de/images/1095_new.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0109509075C6100]],,,moevenpick,,
856fb65a56e135bfbc4e6984ba3ff1a4,0109510037C7100,Cabernet Sauvignon Estate Reserva,5.50,EUR,moevenpick,"Rubinrot von guter Intensität. Schwarzer Holunder und Brombeergelee im kraftvollen Bouquet, ergänzt durch Caramel und etwas kubanischen Tabak. Harmonisch-kraftvoll zeigt sich der Gaumen, viel blau- und schwarzbeerige Frucht, sehr Cabernet-Sauvignon-typisch nach und nach gesellen sich auch delikate Röstaromen dazu, Vanille und gut gebackenes Ruchbrot, insgesamt sehr gut strukturiert und mit feinen Tanninen ausgerüstet gute Abgangslänge.",Rotweine,,http://www.moevenpick-wein.de/images/1095_new_10_k.jpg,http://www.moevenpick-wein.de/images/1095_new_10.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0109510037C7100]],,,moevenpick,,
932c06204fe4baf0184373b4bc0a8206,0109908075C7100,Ligornetto Ticino DOC Vinattieri Ticinesi,35.00,EUR,moevenpick,"Rubinrot, granatfarbene Reflexe. Schwarze Kirschen und Pflaumen in der schön komponierten Nase, ergänzt durch etwas schwarzen Pfeffer und eine Spur Wacholder, nach und nach auch Röstaromen zeigend. Eine tolle Merlot-Frucht im Gaumen, von einnehmender Eleganz, Kakaonoten und Crémant-Schokolade sehr feine Tanninstruktur, von einer anhaltenden Frucht geprägtes Finale.",Rotweine,,http://www.moevenpick-wein.de/images/1099_k.jpg,http://www.moevenpick-wein.de/images/1099.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0109908075C7100]],,,moevenpick,,
f81c7b6d9773db777823d72d0b253a4f,0110408150C4100,Primitivo di Manduria DOC Masseria Pietrosa,21.00,EUR,moevenpick,"Kräftiges Purpur, fast schwarz. Schwarzbeeriges, gehaltvolles Bouquet, von einer typischen Primitivo-Würze begleitet, an Holundergelee und Edelholznoten erinnernd. Weicher Auftakt, abgelöst von einer sehr dichten Brombeerfrucht, auch Cassis, untermalt von schokoladigen Noten und etwas Zimtstern, Kakao, lange anhaltende Aromatik und samtweiche Tannine führen ins köstliche Finale.",Rotweine,,http://www.moevenpick-wein.de/images/1104_new_k.jpg,http://www.moevenpick-wein.de/images/1104_new.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0110408150C4100]],,,moevenpick,,
cfcf2426faf89b644647398b4d92ad97,0110409075C6100,Primitivo di Manduria DOP Masseria Pietrosa,9.80,EUR,moevenpick,"Purpurrot, zum Rand hin etwas aufgehellt. Brombeeren und Lakritze in der feinduftigen Nase, eine leicht erdige Note auch. Rassiger und gleichermassen weich fliessender Auftakt, Schwarzteenoten und schwarzer Holunder, auch eine feine Würze gesellt sich dazu, sehr ausgewogen und kraftvoll, angenehmes, sehr aromatisches Finale.",Rotweine,,http://www.moevenpick-wein.de/images/1104_new_k.jpg,http://www.moevenpick-wein.de/images/1104_new.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0110409075C6100]],,,moevenpick,,
b4b18b8716ef5fece6be41f4c6b3fd41,01113--050C6000,Grappa di Sassicaia Tenuta San Guido,59.00,EUR,moevenpick,"Er präsentiert sich im Glas bernsteinfarben wie warm glänzendes Gold. Sein Duft ist feinwürzig nach Zedernholz, Vanille, Zimt, Kakao und Kaffee, daneben zarte Noten von kandierten Früchten, etwas Honig und ein duftig-süßer Jasmin-Geschmack. Am Gaumen kraftvoll, strukturiert mit weicher Fülle, feine rebsortentypische Frucht-und Kräuteraromen verschmelzen sehr elegant mit warmwürzigen Barriquenoten, im Finale lang mit einem Hauch von Anis und Lakritz - ein wahrhaft majestätischer Grappa.",Grappa,,http://www.moevenpick-wein.de/images/1113_k.jpg,http://www.moevenpick-wein.de/images/1113.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[01113--050C6000]],,,moevenpick,,
4402486ab33c24fd3c83534a43ca8c09,0111709075B6100,Almaviva Viña Almaviva,89.00,EUR,moevenpick,"Bestes Traubengut aus einzigartigen Spitzenlagen und minutiöser Mikrovinifikation zeichnen die Klassiker der Alten, die Ultra-Premiumweine der Neuen Welt und die neu entstandene Kategorie der gesuchten Garagenweine aus.",Rotweine,,http://www.moevenpick-wein.de/images/1117_k.jpg,http://www.moevenpick-wein.de/images/1117.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0111709075B6100]],,,moevenpick,,
59e572ae87d3dc34a63a4ecfef668b29,0112308075B6000,Ornellaia Bolgheri Superiore DOC,130.00,EUR,moevenpick,"Bestes Traubengut aus einzigartigen Spitzenlagen und minutiöser Mikrovinifikation zeichnen die Klassiker der Alten, die Ultra-Premiumweine der Neuen Welt und die neu entstandene Kategorie der gesuchten Garagenweine aus.",Rotweine,,http://www.moevenpick-wein.de/images/1123_k.jpg,http://www.moevenpick-wein.de/images/1123.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0112308075B6000]],,,moevenpick,,
276ec6d280937145b9fb3930bde6069a,0113306300B1100,Château Pey La Tour Réserve du Château,78.00,EUR,moevenpick,"Dunkles Granat mit lila Schimmer. Nobles, aromatisches Bouquet, nach schwarzen Kirschen und Lakritze duftend. Aromatischer Gaumen, Holundernoten, Black Curranttouch, schöne Würze zeigend, stützende Tannine, in etwa vier Jahren schmeckt das Ding so richtig nach sehr gutem Bordeaux bei herrlichem Genuss.",Rotweine,,http://www.moevenpick-wein.de/images/1133_k.jpg,http://www.moevenpick-wein.de/images/1133.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0113306300B1100]],,,moevenpick,,
1459a6d0277e8f6833831925429aba2d,0113307037C7100,Château Pey La Tour Réserve du Château,8.00,EUR,moevenpick,"Dunkles Rubinrot. Schwarzbeeriges Bouquet: Kirschen, Heidelbeeren und Lakritze. Aromatischer Gaumen, Holundernoten, Black-Currant-Touch, schöne Würze zeigend, feiner Fruchtdruck, stützende Tannine, im aromatischen Finale Schwarzteenote.",Rotweine,,http://www.moevenpick-wein.de/images/1133_k.jpg,http://www.moevenpick-wein.de/images/1133.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0113307037C7100]],,,moevenpick,,
2bc78996af0163724842f1cdd3d59130,0113307150C6100,Château Pey La Tour Réserve du Château,32.00,EUR,moevenpick,"Dunkles Rubinrot. Schwarzbeeriges Bouquet: Kirschen, Heidelbeeren und Lakritze. Aromatischer Gaumen, Holundernoten, Black-Currant-Touch, schöne Würze zeigend, feiner Fruchtdruck, stützende Tannine, im aromatischen Finale Schwarzteenote.",Rotweine,,http://www.moevenpick-wein.de/images/1133_k.jpg,http://www.moevenpick-wein.de/images/1133.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0113307150C6100]],,,moevenpick,,
9e899334bcfa892c5313ea333232f66b,0113308075C6100,Château Pey La Tour Réserve du Château,14.50,EUR,moevenpick,"Dunkles Granat mit rubinroten Reflexen. Schwarzbeeriges, sehr nobel wirkendes Bouquet, nach schwarzen Kirschen, Cassis und Lakritze duftend. Aromatischer Gaumen, Holundernoten, Black Curranttouch, schöne pfeffrige Würze zeigend mit Anklängen an gegerbetes Leder und Mokka, stützendes, gut ausgereiftes Tannin, mit tollem Reifepotential ausgestattet! Info: nach 2h Dekantieren bereits jetzt Genussbereit.",Rotweine,,http://www.moevenpick-wein.de/images/1133_k.jpg,http://www.moevenpick-wein.de/images/1133.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0113308075C6100]],,,moevenpick,,
2014a6092c2da7433bd43604da8335a1,0116808075C6100,Les Grands-Mères Vieilles Vignes Côtes du Roussillon Villages AOC,8.20,EUR,moevenpick,"Rubinrot, granatfarbene Reflexe. Backpflaumen und reife Johannisbeeren im offenen Bouquet, etwas Zimt und schwarzer Pfeffer auch, eine dezente Note nach Baumrinde. Viel Wärme und eine gute Fruchtkonzentration im Gaumen, rotbeerig geprägt, Himbeeren und Kirschen ausgesprochen viel Trinkfluss und samtweiche Tannine führen in den gut strukturierten Abgang.",Rotweine,,http://www.moevenpick-wein.de/images/1168_new_k.jpg,http://www.moevenpick-wein.de/images/1168_new.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0116808075C6100]],,,moevenpick,,
39856029a46fd2fe9c0f3c21c101dc09,0120006075C6100,Col Solare Columbia Valley,65.00,EUR,moevenpick,"Dichtes Purpur mit granatfarbenen Rand. Herrlicher Duft nach reifen Brom- und Heidelbeeren, dunkler Kirsche, dahinter Black Currant und Veilchen sowie zartes Lavendelparfüm und Milchkaffee. Samtig-weicher Gaumenfluss, seidige Tannine und dessertartiges Extrakt, viel Schmelz, weiche Textur und verführerische Wärme in der Mitte, betörende Pflaumenaromatik, Kirschtabak und dezente Lebkuchengewürze, honigartiges Finale, einzigartige Eleganz und Klasse bis zum letzten Schluck.",Rotweine,,http://www.moevenpick-wein.de/images/1200_k.jpg,http://www.moevenpick-wein.de/images/1200.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0120006075C6100]],,,moevenpick,,
48f8b23a303dd286093168b17abe64df,0120694070CE000,Whisky Highland Park Single Orkney Islands Malt,58.00,EUR,moevenpick,',Whiskey,,',',,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0120694070CE000]],,,moevenpick,,
664391a4d0762ec71c7341af08b318bf,0121608075C6100,Torremilanos Crianza Ribera del Duero DO,14.50,EUR,moevenpick,"Undurchlässiges Granat mit purpur Reflexen. Brombeeren und Backpflaumen in der tiefgründigen Nase, edel wirkende Lebkuchenwürze und geröstet Mandeln dahinter. Druckvoller Auftakt mit ansprechender Gaumenfülle und gut stützenden Tanninen, wieder schwarze Früchte in vielen Facetten und dezente Barriquenoten, nun auch Lakritze und Korinthenschokolade, auch in der Mitte samtiger Fluss und viel Klasse ausstrahlend, Pflaumenlikör und herrlich komplex bis ins lange nachklingende Finale.",Rotweine,,http://www.moevenpick-wein.de/images/1216_k.jpg,http://www.moevenpick-wein.de/images/1216.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0121608075C6100]],,,moevenpick,,
8ccf446c9e21b028957592ca91299679,0123309075C6100,Beau Mayne Blanc Bordeaux AOC,8.90,EUR,moevenpick,"Helles Gelb. Frische, leicht blumige Nase: reife Stachelbeere, Paprika, gelber Apfel und Heublumen – leichter, fein tänzelnder Körper mit ausgewogener Struktur und fein nervigem, gelbfruchtigem Nachhall.",Weissweine,,http://www.moevenpick-wein.de/images/1233_k.jpg,http://www.moevenpick-wein.de/images/1233.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0123309075C6100]],,,moevenpick,,
82fcea06ae5f60c4c675fa8f3e5d3051,0123707075B6000,Château Providence Pomerol AOC,99.00,EUR,moevenpick,"Nach der hohen Parker-Bewertung vom letzten Jahr reissen sich alle um diesen «neuen Pomerol-Star» von Christian Moueix. Rotbeeriges Bouquet, darin verstecken sich eingelegte Pfefferkörner, welche dem Nasenbild eine feine Rasse verleihen. Der Gaumen zeigt im abgerundeten Extrakt kompottige Noten und rote Früchte.",Rotweine,,http://www.moevenpick-wein.de/images/1237_k.jpg,http://www.moevenpick-wein.de/images/1237.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0123707075B6000]],,,moevenpick,,
70c63a8419e5ccec6368fc95b4238669,0124307075C7100,Château Haut-Bergey Pessac-Léognan AOC,26.90,EUR,moevenpick,"Kräftige Rotweine sind anspruchsvolle, meist selektionierte Lagenweine mit einigen Monaten Fassausbau. Diese Premium-Weine sind perfekte Essbegleiter und bieten auch als Geschenk einen sicheren Wert.",Rotweine,,http://www.moevenpick-wein.de/images/1243_k.jpg,http://www.moevenpick-wein.de/images/1243.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0124307075C7100]],,,moevenpick,,
d2fdc995100a8cd6656891f0db9cdb73,0124408075B6000,Château Côte de Baleau Grand Cru,18.50,EUR,moevenpick,"Dunkles Granat mit lila und bläulichem Schimmer. Klares Fruchtbouquet, viel Kirschen und ein Hauch Cassis, tolle Würze und auch eine selten angetroffene Konzentration zeigend. Satter, stoffiger Gaumen, fein pfeffrige Würze und wieder verschwenderisch viel Heidelbeeren im langen, aromatischen Finale, braucht etwas Zeit aber es lohnt sich hier etwa 6 Jahre nach der Füllung zu warten. Kann sogar noch zulegen.",Rotweine,,http://www.moevenpick-wein.de/images/1244_new_k.jpg,http://www.moevenpick-wein.de/images/1244_new.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0124408075B6000]],,,moevenpick,,
4486cb3acb6266d98925909db138b0db,0126007075C6000,Château Pouilly Pouilly-Fuissé AOC,29.00,EUR,moevenpick,"Goldgelbe Farbe, leicht grünliche Reflexe. Köstliches Chardonnay-Bouquet, das an Williamsbirnen und Aprikosen erinnert, ergänzt durch feine Brioche-Noten und geröstetes Weissbrot. Kraftvolle, aber gleichwohl sehr elegante Aromatik nach Mirabellen und etwas Mango, unterstützt durch die gekonnt eingebundenen Barrique-Aromen, von feiner Struktur und Noblesse anhaltendes, ein gutes Lagerpotenzial aufzeigendes Finale.",Weissweine,,http://www.moevenpick-wein.de/images/1260_k.jpg,http://www.moevenpick-wein.de/images/1260.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0126007075C6000]],,,moevenpick,,
6097d6f4219873c3f42aa22c71d5768d,0126508075C7100,Tamblyn Cabernet Shiraz Malbec Merlot,15.50,EUR,moevenpick,"Schönes Purpur mit dezent rubinroten Reflexen. In der Nase und am Gaumen dann ein  Füllhorn schwarzer Früchte zeigend: Brombeeren, Heidelbeeren und getrocknete Pflaumen  - von feinen Zedernnoten untermalt. Begeisternde Früchtfülle, Schmelz und Saftigkeit am Gaumen, reife, gut eingebundene Tannine und trotz der beeindruckenden Konzentration sehr frisch und animierend. Im langen Finale dann tauchen Aromen von Bitterschokolade, Holundergelee, geröstete Mandeln und feiner Zimtwürze auf.",Rotweine,,http://www.moevenpick-wein.de/images/1265_k.jpg,http://www.moevenpick-wein.de/images/1265.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0126508075C7100]],,,moevenpick,,
dc1d671cc9ec74a9faa7e0b2516a548d,0126708075C6100,Shiraz Old Adam Langhorne Creek,42.00,EUR,moevenpick,"Fast undurchdringliches Purpur. Duftet intensiv  nach reifen Brombeeren, Cassis und schwarzen Kirschen mit einer Spur Zimt und Kardamon. Am Gaumen dann typisch weich, von reifen  schwarzen Beerenfrüchten geprägt, mit perfekt eingebundenen, geradezu samtigen Tanninen, einmaligem Schmelz und Finesse. Ultralanges Finale mit präsenter Shiraz-Würze, bleibt minutenlang am Gaumen.",Rotweine,,http://www.moevenpick-wein.de/images/1267_k.jpg,http://www.moevenpick-wein.de/images/1267.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0126708075C6100]],,,moevenpick,,
8761f5a383b3eeaffe5f4e406caadcb6,0127709075C6100,Cabernet Sauvignon Twin Oaks,7.90,EUR,moevenpick,"Granatrubin. Herrlicher Duft nach reifen Pflaumen, Veilchen, eingelegten Feigen und Amarena. Dahinter betörender Fruchtdruck nach Korinthen, leicht marmeladig, Milchkaffee und Cassislikör. Samtiger Gaumen mit reifen und sehr weichen Tanninen, schön stoffiger Mitte, Heidelbeergelee und Zwetschgenmus sowie Cassisdrops, tolle Balance bis ins füllig, lange Finale.",Rotweine,,http://www.moevenpick-wein.de/images/1277_new_k.jpg,http://www.moevenpick-wein.de/images/1277_new.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0127709075C6100]],,,moevenpick,,
49f7da6a93587cdfcd364f0736b60744,0127905075B7100,Château Langoa Barton 3e Cru Classé,86.00,EUR,moevenpick,"Bestes Traubengut aus einzigartigen Spitzenlagen und minutiöser Mikrovinifikation zeichnen die Klassiker der Alten, die Ultra-Premiumweine der Neuen Welt und die neu entstandene Kategorie der gesuchten Garagenweine aus.",Rotweine,,http://www.moevenpick-wein.de/images/1279_k.jpg,http://www.moevenpick-wein.de/images/1279.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0127905075B7100]],,,moevenpick,,
9038c27f824408d44cfa77a08c0d5989,0128407075B6100,Porto Vintage Silval Quinta do Noval,49.00,EUR,moevenpick,"Undurchsichtiges Purpur, betörendes Bouquet nach Backpflaumen und Zimt, Black Currant und Amarenakirsche. Gehaltvoller Körper mit feiner Süsse, aber auch diese typische weiche, fast tänzerische Art die diesen Portwein von Noval so auszeichnet. Im langen Abgang reife, schwarzbeerige Frucht mit edlen (polierten) Tanninen.",Sherry und Port,,http://www.moevenpick-wein.de/images/1284_k.jpg,http://www.moevenpick-wein.de/images/1284.jpg,,http://ad.zanox.com/ppc/?20177721C279958303&ULP=[[0128407075B6100]],,,moevenpick,,
